,사업장명,맛,친절,가성비,양,혼밥,청결,인테리어,특별한날,특별한메뉴,단체모임,깨끗한화장실,주차,뷰,신선한재료,넓은매장
77,처갓집양념치킨(창5점),25,11,5,4,2,1,0,0,1,3,0,0,0,4,2
78,일등수산,54,24,33,17,0,5,1,0,3,1,1,0,0,41,12
79,목포회관,46,13,12,11,1,4,1,0,1,3,0,0,0,8,0
80,노머시버거(No Mercy Burger),37,11,9,6,11,10,8,1,7,0,0,0,1,18,0
81,둘둘치킨,28,25,8,4,2,4,0,2,2,6,2,0,0,4,8
82,쿠시그릴,6,5,1,0,2,2,3,0,3,0,0,0,0,1,0
83,본죽&비빔밥(굽은다리역점),66,23,8,10,12,15,1,1,4,1,0,0,1,22,4
84,엠지엠,1,2,1,0,0,1,1,0,0,0,1,0,0,0,0
85,런 라운지,0,6,6,0,0,1,3,0,1,0,0,0,0,0,0
86,곰탕집,35,9,8,5,6,7,0,3,5,1,3,0,0,7,7
87,서경,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,싸다김밥 강남역점,418,64,206,70,259,75,9,3,33,0,2,0,7,95,37
89,마천골 살치살 전문점,11,3,9,2,6,1,0,0,0,0,0,0,0,5,0
90,술의온도,28,12,8,0,0,1,2,0,5,5,1,0,0,0,0
91,갤러리&다이닝펍담,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
92,치킨마루 방학역 신도봉시장점,16,14,23,7,3,0,1,0,1,0,0,0,0,3,1
93,히네꼬,16,2,2,6,7,2,1,0,1,0,0,0,0,1,0
94,낭만,2,1,1,1,0,0,1,0,1,0,0,0,0,1,0
95,순이빈대떡,19,5,3,1,1,0,0,0,0,1,1,0,0,0,0
96,도치피자,157,54,12,4,1,27,38,25,29,15,8,0,3,47,11
97,옛날집,109,71,83,11,3,10,2,0,7,13,11,0,0,33,10
98,마당바위,35,18,17,7,4,1,1,0,2,1,0,0,9,8,2
99,자매식당,8,2,2,1,3,1,0,0,1,0,0,0,0,2,0
100,스시카야 논데,41,21,24,0,0,4,2,0,21,0,0,0,0,0,0
101,복코돼지,21,8,6,5,0,7,2,0,6,0,0,0,1,11,0
102,일품곱창,34,16,3,7,1,3,2,1,1,4,0,0,0,3,0
103,호랑이 돈까스,25,0,4,4,1,0,0,0,0,0,0,0,0,4,0
104,장수식당,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0
105,고기극찬 중랑점,4,1,3,2,0,0,0,0,1,0,0,0,0,1,0
106,진 막창,67,25,12,18,0,9,0,2,8,4,3,0,0,22,18
107,MOMENT 모멘트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,스타호프,15,21,9,0,0,3,3,0,3,5,2,0,0,0,0
109,걸작떡볶이 가양점,63,9,15,15,1,1,1,0,7,0,0,0,0,6,0
110,북촌손만두 목동점,160,38,31,26,37,19,1,0,12,3,3,0,1,25,27
111,차이나,92,18,7,9,10,12,7,4,16,4,4,0,0,19,2
112,재동식당,164,447,66,112,178,192,316,67,437,7,36,0,19,482,130
113,치킨매니아(방학1호점),51,14,6,5,0,1,0,1,1,3,0,0,1,5,1
114,중화요리 지엔,27,7,5,8,2,1,1,0,4,0,0,0,0,8,0
115,옥자회관,142,52,18,27,39,19,7,4,24,1,6,0,0,45,2
116,비스트로1492,11,6,1,1,0,3,5,2,1,1,0,0,2,2,3
117,남도미가,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,클럽라운지,176,174,59,0,4,94,85,132,64,0,32,0,44,88,16
119,아쭈,53,22,20,11,5,10,9,2,9,4,3,0,1,14,14
120,가부,181,33,23,43,19,20,4,2,21,3,4,0,0,41,3
121,루프,17,26,1,0,0,4,26,0,4,2,6,0,0,0,0
122,제주돈가,82,26,32,21,28,8,0,0,8,0,0,0,0,12,1
123,풍산소금구이,27,8,2,1,0,2,0,3,0,2,2,0,0,8,0
124,양푼비빔밥,137,21,41,36,35,17,0,0,10,1,6,0,0,28,31
125,하얼빈양꼬치,50,15,21,10,11,11,1,0,9,6,0,0,0,7,12
126,물꽁 아구찜,38,17,8,11,0,9,1,0,2,1,3,0,0,15,5
127,지타워컨벤션,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,벌떡떡볶이 이수점,7,1,3,2,0,1,0,0,0,0,0,0,0,2,0
129,혜성커피숍,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,처갓집양념치킨 개봉2점,31,15,10,6,1,0,2,1,5,1,2,0,2,4,3
131,서초닭갈비,15,8,9,0,0,0,0,0,0,1,0,0,0,1,0
132,산동내,158,36,23,21,5,3,5,6,42,5,0,0,2,25,3
133,레오펍,26,5,19,4,7,6,3,1,2,0,2,0,0,2,0
134,까치분식,28,8,13,3,4,3,1,0,2,0,0,0,0,2,0
135,비에르 에 프리트,10,1,4,0,0,0,0,0,2,0,0,0,0,0,0
136,우감만족,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,마실,147,38,40,15,1,13,1,18,1,41,2,0,1,29,19
138,미에뜨,109,43,7,6,0,17,30,38,22,11,5,0,28,30,6
139,석다원,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,삼백집,77,15,18,4,27,7,1,0,6,0,5,0,0,7,22
141,정원 숯불갈비,22,7,5,10,0,0,0,0,0,3,0,0,0,5,1
142,호남집,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0
143,와우살롱,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144,건안식당,10,3,2,3,1,0,0,0,0,0,0,0,0,0,0
145,마산뚱보할매아구찜,20,3,1,3,1,0,0,2,1,1,1,0,0,3,1
146,호치킨,140,66,90,19,5,12,2,0,9,4,1,0,0,37,2
147,김봉환의 오류닭발,29,10,8,9,0,8,0,1,3,3,3,0,0,7,1
148,팥이야기,114,17,18,24,9,9,0,0,15,2,1,0,1,19,1
149,꼬 닭스,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0
150,은화수식당,30,10,9,3,3,6,3,0,3,1,0,0,1,1,5
151,참식당,30,10,0,3,0,3,1,2,5,1,1,0,0,10,2
152,막퍼주는집,17,8,8,3,1,2,0,0,0,0,0,0,0,3,0
153,다오리,65,21,20,12,9,2,1,0,6,3,0,0,1,14,1
154,금복이네,11,6,4,4,2,0,0,0,1,0,0,0,0,3,0
155,늘비식당 서울점,8,3,6,4,2,1,0,0,3,0,0,0,0,4,0
156,뽀빠이분식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,스시이타,23,2,9,1,8,0,2,1,3,0,0,0,0,8,1
158,동락,24,13,4,1,5,6,1,1,11,0,1,0,0,3,1
159,스시통,109,52,47,30,11,17,5,7,17,17,2,0,3,34,43
160,고기로,10,6,4,2,2,0,0,0,0,0,0,0,0,1,1
161,지랄닭발,27,1,2,4,0,0,0,0,3,0,0,0,0,3,0
162,덩크트레이,5,2,0,0,0,1,4,0,2,1,0,0,0,0,0
163,샤데이,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
164,가네끼스시,39,15,8,13,4,6,4,9,11,0,1,0,0,20,0
165,타만타(Tamantar),0,4,0,0,0,2,9,0,6,0,1,0,0,0,0
166,태강종합물산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,멕시칸라이브그릴 노원점,24,15,4,3,4,5,1,1,6,1,0,0,0,12,1
168,비비큐양천구청점,24,11,3,3,0,4,2,0,1,0,0,0,0,5,0
169,커피 더주다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,정우김밥,29,21,13,2,13,1,0,0,1,0,0,0,0,11,0
171,예나(YENA),0,4,2,0,0,2,1,0,2,0,0,0,1,0,0
172,공만치킨 석촌점,54,31,37,38,6,16,10,5,32,8,2,0,5,29,12
173,범고래,0,9,4,0,0,7,2,0,2,0,0,0,0,0,0
174,김치만 선생,106,42,45,28,15,5,1,0,9,3,0,0,0,10,0
175,불꽃,20,2,8,4,5,0,0,0,0,0,0,0,0,1,1
176,신통치킨,4,4,1,0,0,1,0,0,0,0,0,0,0,1,0
177,낙원건강식,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
178,양돈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,유미식당,15,13,10,2,8,6,1,0,0,0,0,0,0,7,0
180,무지개호프,28,9,13,0,0,7,12,0,6,5,1,0,0,0,0
181,에보니,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
182,한신포차 송파 방이점,66,18,28,0,0,7,0,0,5,7,5,0,0,0,0
183,집밥정식,16,2,7,2,3,1,0,0,0,0,0,0,0,1,0
184,은행나무포장마차,17,6,9,0,0,4,2,0,0,5,3,0,0,0,0
185,떼구르르 보드게임 카페,0,15,5,0,0,0,0,0,0,8,6,0,0,0,0
186,명태어장(신당점),61,15,12,9,5,10,0,0,6,3,1,0,1,11,6
187,발리,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0
188,카페 플랜제로 마곡점(Cafe PLANZERO),0,24,7,0,0,64,30,0,5,0,12,0,3,0,0
189,호우양꼬치,46,27,8,11,0,13,1,0,12,6,2,0,0,23,1
190,세미콜론,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,풍류,22,11,5,0,0,3,3,0,1,7,1,0,0,0,0
192,산골닭갈비,128,22,19,19,2,1,0,0,9,3,0,0,1,23,1
193,대도식품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,생고기전문점,64,32,36,12,5,4,0,1,4,4,6,0,0,13,9
