,사업장명,맛,친절,가성비,양,혼밥,청결,인테리어,특별한날,특별한메뉴,단체모임,깨끗한화장실,주차,뷰,신선한재료,넓은매장
342,삼정종합어시장,109,43,56,23,5,17,4,5,11,11,6,0,3,46,26
343,또온나 불닭,15,7,3,0,1,5,2,1,5,1,1,0,1,3,0
344,한신수제김밥,6,4,3,0,1,1,0,0,0,0,0,0,0,1,0
345,노고산갈비,35,12,12,5,0,2,2,1,0,2,1,0,0,7,0
346,카페크렘므,0,15,10,0,0,0,1,0,1,0,0,0,0,0,0
347,팔도식당,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,서강추어탕,11,0,3,0,0,0,0,1,2,0,1,0,0,2,0
349,불광사철탕,15,8,1,4,5,2,0,1,3,0,0,0,1,2,0
350,너와나,41,5,9,9,0,1,0,1,5,0,0,0,0,11,0
351,단또,12,2,0,0,1,1,0,0,3,3,0,0,1,0,1
352,밀방떡,40,12,12,14,4,8,2,1,10,1,0,0,0,4,2
353,국민낙곱새 송파점,4,1,1,1,0,2,0,0,0,0,0,0,0,2,0
354,개성손만두,235,63,49,54,7,24,4,3,15,21,3,0,3,64,65
355,원푸드,3,1,1,0,0,1,0,0,0,0,1,0,0,2,0
356,북경원,81,16,19,13,5,10,3,1,19,3,1,0,0,7,0
357,토핑빨 고대안암점,20,6,7,3,0,2,1,0,5,0,0,0,0,4,0
358,울엄마김밥,9,1,0,1,2,0,0,0,0,0,0,0,0,0,0
359,스시덴고쿠 동대문현대아울렛점,105,39,10,3,29,32,7,6,10,0,5,0,0,37,9
360,우노한우곱창,20,4,2,8,1,3,0,0,4,0,0,0,1,9,3
361,이문 설농탕,438,105,48,91,78,34,7,7,59,26,9,0,2,106,108
362,어반나이프,42,10,9,7,2,4,4,8,29,2,7,0,2,13,2
363,문래돼지불백,85,14,22,17,19,8,0,0,2,0,1,0,1,10,3
364,계백,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,계림불고기,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,일신정육식당,65,23,10,4,7,6,1,1,3,7,1,0,1,15,8
367,맥주창고,14,2,4,0,0,0,1,0,3,1,1,0,0,0,0
368,태능숯불갈비,55,17,12,3,2,3,1,3,2,5,1,0,0,10,7
369,고기의 품격,33,10,5,9,0,5,2,0,7,2,0,0,0,11,0
370,토오베,0,60,5,0,0,48,52,0,115,0,8,0,31,0,0
371,뼈 사부,9,3,4,1,3,3,0,0,0,3,0,0,0,0,0
372,엔유,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,최고식당가,37,11,6,5,4,2,0,0,1,0,0,0,0,6,0
374,카페엘디아,55,21,16,2,4,15,27,11,11,1,1,0,15,6,15
375,프라임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,황해도찹쌀순대,33,10,6,3,1,2,0,0,0,0,0,0,0,3,2
377,뜨락,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0
378,본도시락마포역점,56,11,13,10,5,3,0,0,5,1,1,0,2,12,0
379,도로시파스타 회기이문점,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
380,김천재의 유념떡볶이,193,40,65,57,37,68,68,2,90,5,19,0,3,62,74
381,병천순대,21,10,9,5,6,1,0,0,1,0,0,0,1,5,0
382,최고집,53,24,7,5,3,3,0,2,4,7,0,0,1,9,16
383,회 한접시,95,42,63,28,3,12,0,3,4,3,3,0,0,63,1
384,와포,9,5,5,2,0,1,0,0,0,2,0,0,0,2,1
385,남원추어탕,176,28,31,29,20,9,3,0,6,8,1,0,4,18,8
386,권서방네순대국,23,15,12,8,2,1,0,0,1,9,2,0,0,2,1
387,분식,66,23,3,1,0,4,2,4,30,3,2,0,0,47,1
388,서촌길돈까스,99,52,27,31,22,8,2,1,17,2,2,0,2,10,15
389,라라포 분짜 쌀국수,106,40,17,10,7,26,11,3,9,3,1,0,2,23,8
390,고향만두전문점,180,55,46,26,5,10,2,2,7,2,2,0,2,32,1
391,푸라닭 마곡역점,70,12,8,4,0,0,0,0,7,0,0,0,1,11,1
392,초원식당,31,9,28,9,11,0,0,0,0,0,0,0,0,4,1
393,불꽃,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
394,아지트,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0
395,옛날장터치킨,39,21,20,6,0,4,1,0,0,0,0,0,0,11,0
396,송가네농장,27,12,9,6,1,0,0,0,3,7,0,0,0,3,1
397,행복김밥,20,5,7,3,3,1,0,0,1,0,0,0,0,2,0
398,달빛소리,16,27,13,2,1,16,21,10,6,3,6,0,2,4,7
399,청춘감성쌀핫도그신길대영점,4,3,5,2,1,1,0,0,2,0,0,0,0,4,0
400,미라보,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,한아름,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,하모니,0,36,0,0,0,5,0,0,0,0,0,0,0,0,0
403,도미노피자월계점,135,37,29,13,2,15,5,2,15,0,1,0,0,20,7
404,김가네,84,15,17,7,22,16,0,0,1,0,1,0,0,8,0
405,찌개마을,29,11,8,8,2,2,1,0,2,0,0,0,0,8,0
406,스시앤롤,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
407,흑도니,19,10,1,1,0,3,0,0,8,2,0,0,0,16,2
408,정한손함흥냉면,14,6,10,6,7,4,0,0,0,1,0,0,0,6,1
409,새말로 고기굼터,30,11,14,6,1,1,1,0,1,4,0,0,1,5,2
410,새마을식당,90,25,38,21,4,10,3,3,10,3,3,0,1,18,9
411,명문가갈비찜,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,수유리우동집,377,74,139,79,111,33,4,2,13,3,2,0,2,78,11
413,커핀그루나루성동문화원점,0,17,4,0,0,9,8,0,5,0,6,0,7,0,0
414,웁스 떡볶이,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
415,미스터피자대공원점,22,8,7,1,2,2,1,0,1,3,0,0,1,4,4
416,이태원 샐러드,39,16,6,6,16,7,2,2,5,0,1,0,0,16,0
417,한강생고기,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
418,참치장수,27,3,2,2,0,0,0,0,0,0,0,0,0,1,0
419,플라잉볼 에그팩토리,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
420,더플레이스공덕해링턴점,158,60,24,12,3,55,29,23,25,22,4,0,1,42,53
421,핫오리,2,5,1,1,0,2,0,1,2,0,1,0,0,1,1
422,제니아,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
423,선비촌추어탕,67,19,18,16,9,3,1,1,5,0,0,0,0,7,1
424,해천,23,14,10,4,0,0,1,1,4,0,1,0,0,9,0
425,밥묵고돈내고,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,육해공정육식당,51,14,11,5,3,10,0,1,1,6,2,0,2,12,12
427,갯마을고향맛,31,8,3,3,1,4,0,0,6,1,0,0,1,6,1
428,금강식당,38,13,4,1,3,2,0,0,2,3,1,0,0,6,3
429,영등포역점원조쌈밥집,90,38,22,11,4,10,1,2,5,8,3,0,0,49,22
430,태양생고기,104,25,24,15,7,2,2,2,11,12,0,0,2,26,7
431,한박상회,11,6,3,1,1,4,0,0,0,0,0,0,0,3,0
432,정육에반하다,26,33,17,3,2,3,0,0,1,2,0,0,1,41,3
433,왕순대식당,71,30,19,13,20,8,3,2,7,4,3,0,1,12,2
434,오자매양꼬치,62,35,19,11,0,9,1,2,11,5,4,0,0,19,3
435,가이아,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,지아네요리공작소,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
437,라온정,19,11,6,11,3,9,3,0,1,0,0,0,0,8,0
438,투썸플레이스 상암우리센터,0,96,9,0,0,90,35,0,11,0,18,0,10,0,0
439,혜주네,21,3,3,0,1,0,0,0,3,2,0,0,1,4,0
440,분식엔포차,54,16,17,7,15,13,7,0,0,0,0,0,0,15,1
441,칭따오양꼬치,54,23,17,12,1,8,1,1,13,2,0,0,0,15,3
442,연남정,133,43,64,0,32,9,3,2,18,4,0,0,3,47,12
443,피자알볼로여의도점,73,8,11,6,1,2,2,1,5,0,0,0,0,12,0
444,삼성2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,딜리버리킹,24,1,3,9,1,1,0,0,0,0,0,0,1,6,0
446,봉구비어,0,3,4,0,0,1,1,0,1,0,0,0,0,0,0
447,순이빈대떡,23,11,10,7,2,1,0,1,4,0,1,0,1,10,0
448,마루터,49,22,6,9,19,8,0,0,3,0,0,0,0,9,1
449,화르르,26,13,8,8,0,1,0,0,5,2,1,0,0,6,1
450,순남시래기 길동역점,97,47,28,21,21,22,2,2,0,0,0,0,1,28,0
451,징기스칸,15,6,5,1,1,0,0,0,0,4,0,0,0,2,0
452,정자네식당,9,2,4,0,1,0,0,0,1,0,0,0,0,3,0
453,아리수호프,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,서오릉피자 문래점,404,127,275,60,11,86,5,0,39,2,5,0,0,149,3
455,오프오프커피,0,41,11,0,0,28,30,0,26,0,4,0,3,0,0
456,미가,18,12,8,6,1,1,0,1,2,4,0,0,0,9,4
457,멘야산다이메,118,25,19,16,40,1,9,1,16,4,1,0,0,23,9
458,청계족발,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,항방양꼬치,120,41,16,14,2,13,0,4,24,19,5,0,0,21,36
460,원조 우리 곱창?닭갈비,32,24,12,9,2,9,1,1,3,4,1,0,0,16,1
461,커피온더스트릿,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
462,고이짱,103,33,22,29,26,17,12,0,6,0,0,0,4,16,0
463,노가리와뻑가리,4,2,4,0,0,1,0,0,0,0,0,0,0,0,0
464,비원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,봉식이 옛날 왕만두,206,54,68,18,13,10,2,1,10,1,0,0,1,31,2
466,군자보쌈찌개,34,11,14,4,0,9,0,0,12,0,0,0,0,3,1
467,파파존스홍대,24,5,2,1,0,2,0,0,3,0,0,0,0,3,0
468,나나하치,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,한솥,91,15,38,12,16,5,1,3,11,0,1,0,1,13,0
470,고기원칙구의역점,43,17,14,9,3,8,1,3,12,4,5,0,0,16,7
471,청기와,9,2,4,2,0,0,0,0,2,0,0,0,0,4,0
472,키요이 스키야키,117,65,19,31,4,32,34,7,29,0,4,0,0,62,0
473,홍콩,37,16,5,9,6,7,3,0,4,15,0,0,0,6,8
474,마인드,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
475,로얄식당,40,30,13,11,17,1,1,0,2,1,1,0,0,5,0
476,홈라이크,12,3,2,0,0,1,4,0,5,0,0,0,0,0,0
477,대동강호프,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
478,무안갯벌낙지,58,17,10,2,1,2,1,0,3,3,0,0,0,11,2
479,파스토보이,15,3,4,4,2,0,0,0,2,0,0,0,0,4,0
480,평양 냉면,66,22,14,13,9,10,1,1,9,2,1,0,0,14,9
481,가마고을,9,5,0,1,6,0,1,0,0,0,1,0,0,0,0
482,우리집,78,41,25,11,26,23,4,0,7,2,3,0,2,18,9
483,금별맥주,201,82,102,0,0,31,77,0,36,15,2,0,0,0,0
484,우미가,34,11,10,5,0,3,1,0,3,3,0,0,0,8,3
485,차림고수,3,1,1,1,1,0,0,0,0,0,0,0,0,2,0
486,아마이,17,2,2,0,0,2,6,0,2,2,0,0,0,0,0
487,먹골로데오김밥,96,28,14,3,26,27,4,0,2,1,0,0,0,25,6
488,퍼줘요,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
489,서초 비어 브릭,32,17,18,0,0,2,2,0,6,8,2,0,0,0,0
490,매일 노가리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,광양불고기,253,72,26,30,8,29,10,10,21,54,5,0,2,44,80
492,야끼소바 니주마루,163,86,26,21,56,17,11,3,52,0,1,0,0,30,1
493,카페로,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
494,후라이드참잘하는집 신림점,24,4,17,6,0,1,0,0,2,0,1,0,2,6,0
495,라온제나,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,서울안심축산정육식당,102,27,10,11,0,19,19,9,25,23,1,0,2,38,30
497,마장동 호랑이,18,17,3,0,0,7,9,9,15,2,0,0,1,12,0
498,도리도리,39,15,5,0,0,15,16,0,13,0,3,0,0,0,0
499,삼영,22,7,6,8,16,0,1,0,0,1,0,0,2,1,2
500,내추럴라이프스타일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,오렌지몽키파스타&마르코죤스 피자,30,8,13,7,3,7,3,0,2,5,1,0,2,6,6
502,라이라이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,취락한방능이백숙,39,3,3,7,0,1,1,2,5,8,1,0,1,5,0
504,아비꼬 뉴코아강남점,30,4,3,4,5,2,0,0,3,0,0,0,0,4,3
505,방이별관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,대파집 연신내 직영점,44,15,11,4,3,4,2,0,4,6,0,0,1,6,9
507,커피호프,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,라인강,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,한탄강매운탕,27,13,6,8,0,0,0,0,3,3,0,0,1,4,3
510,식스밀 서교점,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0
511,비룡매운맛음식점,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
512,비스트로바이춘,29,18,18,5,1,5,10,5,4,1,12,0,0,8,0
513,위버커피,0,20,20,0,0,15,5,0,3,0,1,0,1,0,0
514,탕가네,35,5,22,21,26,2,0,0,2,0,0,0,0,1,5
515,오다리집 간장게장,40,11,8,8,0,1,1,2,4,1,0,0,0,14,2
516,늦은오후,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,고피자,175,34,82,15,60,18,2,0,12,1,2,0,0,25,3
518,사가라멘 강남역점,184,62,40,20,100,20,2,3,20,2,3,0,2,23,3
519,엄마의손맛,6,3,0,0,3,0,0,0,0,0,0,0,0,1,0
520,금천맛집,235,91,95,72,4,102,8,12,21,25,16,0,1,151,88
521,포메인 홍제점,51,5,3,9,8,15,0,0,1,2,0,0,0,15,16
522,새우의 진수,4,2,0,0,0,0,0,0,2,0,0,0,0,2,0
523,누구나 홀닥 반한닭,108,14,19,14,1,11,2,2,14,22,4,0,3,9,32
524,버블캐슬,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
525,더 돈카츠,14,5,5,1,6,4,0,0,2,0,0,0,0,2,0
526,영광식당,65,20,33,15,10,1,1,0,6,4,1,0,1,12,2
527,만랩커피 삼성1호점,0,16,18,0,0,5,6,0,0,0,1,0,2,0,0
528,화돌농장,16,10,7,1,0,6,0,0,3,1,5,0,0,3,1
529,맥주날다,27,13,7,0,0,4,3,0,4,4,0,0,0,0,0
530,뉴욕 커피 호프,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,막식이사골부대찌개,61,45,28,14,17,38,3,2,3,1,3,0,0,24,3
532,영구식당,33,14,12,8,3,2,1,3,9,0,0,0,0,13,0
533,이수전,26,10,3,2,0,2,0,0,7,1,0,0,0,2,1
534,김밥천국,72,31,32,15,25,18,1,0,2,0,0,0,0,12,3
535,장남식당,14,3,0,0,0,1,3,0,4,2,0,0,0,1,1
536,윤수산,21,7,9,12,4,2,0,1,3,1,1,0,0,15,1
537,신전떡볶이 정릉점,48,15,11,6,9,2,0,0,8,0,1,0,0,8,0
538,플로라 cafe,0,42,5,0,0,18,10,0,56,0,0,0,1,0,0
539,교촌치킨 개포1호점,114,22,12,4,4,6,2,2,8,5,1,0,2,9,4
540,수제비집,220,288,285,468,110,70,14,35,205,42,26,0,12,312,218
541,연탄생고기집 서교점,84,68,7,8,1,61,1,3,2,20,8,0,1,57,18
542,내이름삼순이,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0
543,들꽃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,한솔냉면,1,3,0,0,1,2,0,0,0,0,0,0,0,0,2
545,김가네 찜칼국수,175,89,45,99,3,34,5,3,8,28,5,0,1,40,59
546,준스키친,10,3,2,2,0,1,0,0,0,0,0,0,0,1,0
547,홍과장,26,10,2,0,0,5,5,4,9,3,3,0,1,11,0
548,장안삼계탕,137,77,15,26,8,18,5,6,34,15,4,0,2,30,14
549,빈호프,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
550,푸라닭 월곡점,59,23,9,6,2,13,2,0,7,0,0,0,1,6,0
551,교동왕족발,186,58,54,40,3,6,1,1,13,1,1,0,2,35,2
552,투썸플레이스,0,81,28,0,0,63,16,0,25,0,15,0,26,0,0
553,비비큐공덕점,60,21,2,4,1,10,0,0,6,9,0,0,2,14,6
554,해동루,55,15,6,9,5,2,1,2,1,2,0,0,1,10,1
555,맥주창고,8,3,8,0,0,0,0,0,2,6,0,0,0,0,0
556,호 맥 샤로수길점,21,1,4,0,0,1,3,0,8,2,1,0,0,0,0
557,인생설렁탕 까치산역점,101,14,31,20,22,6,4,0,9,1,0,0,0,22,8
558,고미정,168,58,45,26,1,32,22,17,26,41,9,0,22,64,26
559,고미돈까스,17,3,11,9,2,0,0,0,5,0,0,0,0,1,0
560,민들레식당,9,6,2,0,0,3,0,0,5,0,0,0,0,0,0
561,디코이 커피 로스터스,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
562,깐부치킨 사당역점 KKANBU CHICKEN,136,36,22,4,1,20,9,2,12,24,6,0,3,25,34
563,남원춘향골추어탕,28,7,3,2,4,2,0,0,1,0,1,0,0,3,1
564,대원칼국수,104,27,15,29,10,9,1,0,1,3,1,0,0,16,7
565,대원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,제주돼지로한판,32,20,8,3,0,4,1,1,4,1,0,0,0,11,0
567,사가정,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,육공판 상계점,42,21,29,2,1,4,0,0,4,2,0,0,1,7,5
569,행복푸드,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,고기 구워주는 려자,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
571,농장사람들,106,44,57,19,4,8,3,3,7,17,0,0,2,27,17
572,당신은지금치킨이땡긴다 독산점,21,4,6,4,1,1,0,0,4,0,0,0,1,2,0
573,하나식당,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
574,이자카야열,22,8,3,0,0,4,5,0,7,19,0,0,0,0,0
575,본점이강순실비집,111,29,11,11,5,2,3,2,20,5,2,0,0,14,2
576,북창터,25,4,7,3,2,0,0,0,2,2,0,0,0,3,0
577,잇프레쉬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,제주 몬트락 수서직영점,69,30,8,5,1,7,1,3,10,20,3,0,0,18,17
579,오마이 떡볶이치킨,47,20,35,28,3,18,3,0,10,8,9,0,0,16,16
580,벅구네,15,2,1,1,1,0,1,1,0,0,0,0,0,4,0
581,모모 관악점,0,15,6,0,0,9,3,0,5,0,1,0,0,0,0
582,호프광장,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,솔솥 한남점,497,225,38,83,57,76,41,50,191,0,20,0,0,207,2
584,찜집,225,58,45,124,2,15,4,8,10,36,1,0,1,73,53
585,하노이의아침,46,20,4,11,3,7,8,5,3,10,3,0,1,12,10
586,단비,41,24,14,0,0,0,0,0,0,0,0,0,0,26,0
587,육수당,62,15,16,17,19,8,1,0,1,3,3,0,4,9,10
588,마리올라본점,0,53,31,0,0,35,7,0,33,0,5,0,5,0,0
589,다정한상,25,8,5,0,3,10,2,0,0,0,0,0,0,10,1
590,하나,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,예술촌,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
592,마싯소,18,12,11,6,0,1,0,0,1,6,0,0,0,6,2
593,딜리스시,58,42,32,25,28,20,0,0,2,0,0,0,0,45,0
594,돌판삼겹살,76,32,54,17,5,1,1,0,1,4,0,0,1,23,2
595,이박사돈까스,62,13,21,24,3,2,0,0,0,0,0,0,1,7,0
596,크레이빙 커피,0,36,4,0,0,17,15,0,6,0,0,0,3,0,0
597,핫썬치킨 삼성역점,39,5,1,2,0,1,0,0,2,13,2,0,0,6,8
598,완산골 명가,64,14,13,10,10,6,0,1,1,2,1,0,1,4,10
599,아노브 연남,265,47,14,21,4,34,64,13,42,8,26,0,30,36,32
600,미,15,13,4,0,0,2,3,8,9,1,2,0,0,5,0
601,고궁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,임프레션,25,21,1,1,0,9,14,14,9,0,3,0,8,12,2
603,별헤는밤,13,2,5,0,0,2,1,0,0,1,0,0,0,0,0
604,롭다,0,40,7,0,0,31,53,0,12,0,13,0,9,0,0
605,힐링비어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,직각식탁,41,20,7,0,0,15,21,1,18,6,4,0,0,3,3
607,연변손두부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,삼순이게장전문점,32,15,6,10,0,2,1,0,3,5,1,0,1,13,4
609,디노노가리술집,28,12,12,0,0,0,3,0,3,5,1,0,0,0,0
610,엘리빌리 샐러드앤브런치,53,44,7,0,10,24,9,1,11,0,3,0,2,68,0
611,부엌 다이닝키친,31,18,8,1,0,9,1,2,7,1,3,0,0,24,3
612,우리마을,21,2,10,8,5,0,1,0,0,0,0,0,0,10,1
613,치킨뱅이,19,8,11,6,0,3,0,0,1,6,0,0,0,4,4
614,경성주막,13,2,3,0,0,0,0,0,1,0,0,0,0,0,0
615,그때그집,20,3,2,1,3,0,0,2,1,0,0,0,0,1,0
616,스푼앤포크키친,121,107,31,16,5,46,19,28,32,3,7,0,4,74,0
617,등심집,6,5,2,1,0,3,0,1,0,1,0,0,0,4,0
618,금강맛집,20,8,8,4,0,1,0,0,2,2,0,0,0,4,2
619,칭따오,112,32,27,28,11,5,3,0,16,3,0,0,1,30,7
620,곰짬뽕,69,13,21,14,6,2,1,0,6,1,0,0,1,16,3
621,서초마을,124,38,23,0,0,62,52,0,55,83,27,0,0,0,0
622,우도,6,4,1,1,0,2,0,1,3,4,0,0,0,1,0
623,삼통치킨,68,27,16,4,0,8,0,2,5,9,4,0,1,12,5
624,미담분식,18,0,3,2,0,0,0,0,0,0,0,0,0,1,0
625,쪽갈비제작소,27,10,5,3,0,3,3,2,6,2,1,0,0,4,2
626,여리네 닭갈비,99,24,31,11,4,7,0,2,5,5,1,0,1,12,4
627,혜영식당,28,12,8,1,0,3,1,9,10,0,1,0,1,15,2
628,보배막창,5,0,5,3,0,0,0,0,0,0,0,0,0,0,0
629,포그니,15,4,4,0,0,0,1,0,2,5,0,0,0,0,0
630,가든한밤,11,6,3,0,0,4,5,0,0,1,2,0,0,0,0
631,피슈마라홍탕,437,355,66,108,77,294,81,2,52,12,5,0,4,377,281
632,속초식당,17,7,1,2,0,0,0,0,2,5,0,0,0,3,2
633,황토방,16,8,5,3,1,0,0,0,0,1,0,0,0,2,2
634,해궁,22,8,4,2,0,2,0,0,3,1,0,0,0,8,0
635,엄나무골 삼계탕,9,4,2,3,1,0,0,0,1,0,0,0,0,4,0
636,먹고을전주콩나물국밥,527,105,77,77,45,18,6,6,22,26,13,0,1,92,74
637,뚱땡이왕족발,37,15,11,8,0,3,0,0,2,2,1,0,0,9,0
638,별을품은 곱창,15,5,3,1,0,1,0,0,1,0,0,0,1,3,2
639,초밥설,29,16,9,2,17,6,0,1,3,0,1,0,0,10,0
640,쪼매 매운 냉면,62,24,14,5,10,6,0,0,4,0,1,0,0,7,0
641,해빙커피,0,18,2,0,0,5,10,0,12,0,2,0,2,0,0
642,우담,3,2,1,1,0,2,0,2,0,0,0,0,0,4,2
643,바우네 나주곰탕,44,12,15,10,9,8,0,0,2,4,1,0,0,8,6
644,오늘의 와인,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
645,호수,6,6,3,1,0,1,0,0,1,0,0,0,0,0,0
646,만금성,49,11,11,10,3,0,0,0,5,2,0,0,1,6,1
647,아리가또,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
648,은정식당,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
649,언양닭칼국수,94,36,32,33,15,13,4,0,9,2,0,0,0,19,10
650,소곱당,58,36,3,4,1,34,24,2,6,2,21,0,2,31,3
651,조 샌드위치 & 커피,88,40,17,18,17,17,0,0,7,2,1,0,0,65,9
652,팔팔민물장어,106,46,9,21,3,23,10,11,29,42,4,0,1,53,55
653,츄카롱 성신여대점,0,11,2,0,0,6,3,0,3,0,2,0,0,0,0
654,지중해,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,궁전,479,329,76,136,22,98,292,71,325,44,17,0,13,98,82
656,광진닭한마리,109,32,29,20,0,6,0,0,10,7,1,0,1,24,5
657,고시촌 해장국,17,16,5,3,11,8,0,0,1,0,0,0,0,3,1
658,혼가츠,204,43,37,49,28,27,4,5,17,5,1,0,1,28,49
659,소시민,8,4,0,0,0,2,1,0,2,0,0,0,0,0,0
660,고래호프,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,야애주가,7,3,0,1,0,0,3,0,2,0,0,0,0,2,0
662,북경,121,23,33,14,11,3,2,1,4,3,1,0,0,19,1
663,커피온리건대점,0,52,116,0,0,22,8,0,20,0,2,0,1,0,0
664,두껍삼 강남직영점,230,76,18,5,1,58,11,6,4,84,12,0,0,50,76
665,이불덮밥 상암DMC점,49,15,18,9,27,13,5,0,10,0,0,0,0,9,0
666,다오래골뱅이,58,9,4,6,1,1,0,0,4,2,3,0,0,11,10
667,기사님식당,20,7,5,7,6,3,0,0,0,0,0,0,0,6,2
668,제주애돈,26,13,2,7,0,1,0,1,9,4,0,0,0,15,1
669,대동관,63,12,8,10,3,5,0,0,10,0,0,0,1,17,15
670,서가네,28,6,2,5,2,5,2,1,3,1,0,0,0,7,3
671,그린호프,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0
672,빈이네 곱창,33,16,12,14,0,7,0,4,1,0,0,0,0,6,0
673,스시댄,53,11,11,7,3,3,2,1,4,2,0,0,0,14,2
674,하루한줄,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0
675,달링스테이크 고려대가족점,11,3,2,1,1,0,2,0,0,0,0,0,1,2,1
676,용머리횟집,32,5,6,3,0,3,0,0,1,5,0,0,0,9,3
677,인생닭강정,101,56,31,32,14,5,3,0,9,1,0,0,3,22,2
678,천지인 설렁탕,21,6,5,2,2,3,0,1,1,2,1,0,0,3,3
679,박가네구이,43,13,16,13,5,11,0,0,4,1,2,0,1,8,0
680,옐로우 서브마린,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681,본도시락 압구정역점,31,10,16,23,9,6,0,0,8,0,0,0,0,20,1
682,슈가플라이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683,범식당,97,46,15,6,0,24,2,8,10,4,4,0,0,50,4
684,매덕스피자,271,65,38,50,22,22,23,12,73,9,6,0,14,48,9
685,달리는커피 길동점,0,2,7,0,0,3,2,0,5,0,0,0,0,0,0
686,마마부찌,116,57,70,61,32,21,2,3,7,7,10,0,0,10,17
687,보람식당,7,2,2,1,1,1,0,0,2,0,0,0,0,1,0
688,갈비이야기,14,10,5,0,3,1,0,0,0,0,0,0,0,1,0
689,마포소금구이,0,0,10,7,0,0,0,0,3,3,0,0,0,8,8
690,The 야곱story,12,0,5,3,0,1,0,1,1,0,0,0,0,1,0
691,라사천마라탕 안암점,8,0,1,0,0,1,0,0,0,0,0,0,0,1,1
692,통돼지,73,23,15,11,6,2,1,3,9,10,0,0,2,20,10
693,곰비님비손만두,22,6,11,2,0,0,0,0,1,1,0,0,0,3,2
